Aspect,No Of Positive mentions,No Of Neutral mentions,No Of Negative mentions
monitor,48,0,11
screen,20,0,5
box,8,0,2
display,9,0,3
set,37,0,1
computer,30,0,3
keyboard,8,0,0
surface,1,0,0
good,83,0,1
memory,4,0,0
form,1,0,0
drive,4,0,1
machine,5,0,0
port,6,0,3
home,11,0,0
brand,2,0,0
well,43,0,1
connection,8,0,9
remote,3,0,3
control,2,0,5
high,7,0,0
support,9,0,20
case,4,0,0
battery,8,0,0
system,21,0,3
light,4,0,0
still,11,0,2
weight,5,0,0
corner,2,0,1
point,6,0,1
stand,3,0,2
network,8,0,3
thing,8,0,0
unit,8,0,1
wireless,15,0,2
bass,24,0,1
line,6,0,3
setup,16,0,2
bit,4,0,4
base,6,0,1
speaker,42,0,6
wire,6,0,1
way,2,0,3
router,56,0,21
