Aspect,No Of Positive mentions,No Of Neutral mentions,No Of Negative mentions
box,6,0,2
mine,4,0,7
speaker,4,0,0
radio,14,0,8
car,2,0,6
good,99,0,15
screen,37,0,13
way,7,0,20
level,3,0,3
battery,79,0,12
line,3,0,11
point,5,0,10
speakerphone,9,0,6
bit,1,0,24
headphone,1,0,13
button,2,0,27
camera,128,0,21
light,31,0,2
high,7,0,6
extra,1,0,2
converter,1,0,1
cable,1,0,6
weight,5,0,3
jack,0,0,16
support,2,0,18
computer,12,0,6
thing,22,0,26
control,10,0,6
flash,9,0,6
lens,2,0,21
viewfinder,0,0,16
cap,2,0,3
cover,1,0,9
remote,1,0,19
display,2,1,16
unit,15,0,20
machine,6,0,5
case,7,0,27
wheel,5,0,10
storage,13,0,4
window,1,0,3
drive,4,0,9
room,4,0,4
plug,2,0,1
track,1,0,4
disc,1,0,16
shot,1,0,0
